season,financial_year_end,report_type,text_layer_quality,profit_and_loss_page,turnover_note_page,staff_costs_note_page,balance_sheet_page,debt_note_pages,turnover_labels,wage_label,player_amortisation_label,debt_method,key_caveats,extraction_confidence
2011/12,2012-06-30,Manchester United plc 2012 Annual Report on Form 20-F,text_pdf,66,70,67,156,157,Commercial | Broadcasting | Matchday,Employee benefit expenses,Amortization of players' registrations,Use explicit net debt reconciliation from plc annual report,"Plc source used instead of narrower club-limited filing for comparability",high
2012/13,2013-06-30,Full accounts made up to 30 June 2013,scanned_pdf,12,19,21,13,29,Commercial | Broadcasting | Matchday,Staff costs,Amortisation of players' registrations,"Estimate net debt as fellow-subsidiary senior secured notes + secured term loan - cash at bank and in hand","Scanned PDF; club-limited commercial line is narrower than later plc commercial segment; debt not disclosed as a single company net-debt line",medium
2013/14,2014-06-30,Full accounts made up to 30 June 2014,scanned_pdf,10,16,18,11,25,Commercial | Broadcasting | Matchday,Staff costs,Amortisation of players' registrations,"Estimate net debt as fellow-subsidiary senior secured notes + secured term loan - cash at bank and in hand","Page layout shifts forward materially from 2012/13; scanned PDF; club-limited commercial line remains narrow",medium
2014/15,2015-06-30,Full accounts made up to 30 June 2015,scanned_pdf,10,16,18,11,25,Commercial | Broadcasting | Matchday,Staff costs,Amortisation of players' registrations,"Estimate net debt as fellow-subsidiary senior secured notes + secured term loan - cash at bank and in hand","FRS-style scanned filing remains OCR-dependent; debt note order flips term loan / notes wording",medium
2015/16,2016-06-30,Full accounts made up to 30 June 2016,scanned_pdf,9,19,21,10,25,Commercial | Broadcasting | Matchday,Employee benefit expense,Amortisation of intangible assets,"Estimate net debt as fellow-subsidiary senior secured notes + secured term loan - cash at bank and in hand","FRS 101 layout changes page map and labels; scanned PDF; club-limited revenue split remains narrower than plc segment view",medium
2016/17,2017-06-30,Full accounts made up to 30 June 2017,scanned_pdf,,,,,,Unknown until full OCR confirmation,Unknown until full OCR confirmation,Unknown until full OCR confirmation,"Blocked pending full OCR page verification","Partial scouting indicates post-2015 FRS 101 layout persists, but current pass did not complete field-by-field verification to save a raw extraction JSON",blocked
2017/18,2018-06-30,Full accounts made up to 30 June 2018,scanned_pdf,,,,,,Unknown until full OCR confirmation,Unknown until full OCR confirmation,Unknown until full OCR confirmation,"Blocked pending full OCR page verification","Partial scouting indicates post-2015 FRS 101 layout persists, but current pass did not complete field-by-field verification to save a raw extraction JSON",blocked
2018/19,2019-06-30,Full accounts made up to 30 June 2019,scanned_pdf,,,,,,Unknown until full OCR confirmation,Unknown until full OCR confirmation,Unknown until full OCR confirmation,"Blocked pending full OCR page verification","Partial scouting indicates post-2015 FRS 101 layout persists, but current pass did not complete field-by-field verification to save a raw extraction JSON",blocked
2019/20,2020-06-30,Full accounts made up to 30 June 2020,scanned_pdf,,,,,,Unknown until full OCR confirmation,Unknown until full OCR confirmation,Unknown until full OCR confirmation,"Blocked pending full OCR page verification","Partial scouting indicates post-2015 FRS 101 layout persists, but current pass did not complete field-by-field verification to save a raw extraction JSON",blocked
2020/21,2021-06-30,Full accounts made up to 30 June 2021,scanned_pdf,,,,,,Unknown until full OCR confirmation,Unknown until full OCR confirmation,Unknown until full OCR confirmation,"Blocked pending full OCR page verification","Current raw folder contains the club-limited filing rather than the plc report used for 2021/22 onward; full OCR verification not completed in this pass",blocked
2021/22,2022-06-30,Manchester United plc 2022 Annual Report on Form 20-F,text_pdf,72,72,72,161,161,Commercial | Broadcasting | Matchday,Employee benefit expenses,Amortization,Use explicit net debt reconciliation from plc annual report,"Plc report restores broader comparable revenue and net-debt view",high
2022/23,2023-06-30,Manchester United plc 2023 Annual Report on Form 20-F,text_pdf,63,63,63,,148,Commercial | Broadcasting | Matchday,Employee benefit expenses,Amortization,Use explicit net debt reconciliation from plc annual report,"Existing extracted season",high
2023/24,2024-06-30,Manchester United plc 2024 Annual Report on Form 20-F,text_pdf,,,,,,Commercial | Broadcasting | Matchday,Employee benefit expenses,Amortization,Use explicit net debt reconciliation from plc annual report,"Existing extracted season",high
2024/25,2025-06-30,Manchester United plc 2025 Annual Report on Form 20-F,text_pdf,,,,,,Commercial | Broadcasting | Matchday,Employee benefit expenses,Amortization,Use explicit net debt reconciliation from plc annual report,"Existing extracted season",high
