season,financial_year_end,report_type,text_layer_quality,profit_and_loss_page,turnover_note_page,staff_costs_note_page,balance_sheet_page,debt_note_pages,turnover_labels,wage_label,player_amortisation_label,debt_method,key_caveats,extraction_confidence
2011/12,2012-05-31,Full accounts made up to 31 May 2012,scanned_pdf,9,15,16,12,21,"Gate receipts | Television - UEFA | Television - All Other | Other commercial activities",Aggregate payroll costs,Amortisation of player's registrations,"Compute net debt from borrowings less cash at bank and in hand","Broadcasting must combine UEFA and all-other television lines; scanned PDF requires rendered-page review",high
2012/13,2013-05-31,Full accounts made up to 31 May 2013,scanned_pdf,9,14,15,11,23,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs,Amortisation of player registrations,"Compute net debt from financial liabilities in note 23 less cash at bank and in hand from the balance sheet","Player-trading profit is disclosed separately in the profit and loss account; scanned PDF requires rendered-page review",high
2013/14,2014-05-31,Full accounts made up to 31 May 2014,scanned_pdf,10,15,16,12,24,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs,Amortisation of player registrations,"Compute net debt from financial liabilities in note 23 less cash at bank and in hand from the balance sheet","Player-trading profit is disclosed separately in the profit and loss account; page drift of roughly +1 against 2012/13; scanned PDF requires rendered-page review",high
2014/15,2015-05-31,Full accounts made up to 31 May 2015,scanned_pdf,10,15,16,12,24,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs,Amortisation of player registrations,"Compute net debt from financial liabilities in note 23 less cash at bank and in hand from the balance sheet","Early 31 May layout remains stable; player-trading profit is disclosed separately in the profit and loss account; scanned PDF requires rendered-page review",high
2015/16,2016-05-31,Full accounts made up to 31 May 2016,scanned_pdf,10,24,25,11,30,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs / employee costs,Amortisation of player registrations,"Compute net debt from borrowings note 18 less cash at bank and in hand from the balance sheet","Note numbering shifts materially deeper into the statement; player-trading profit is disclosed separately; scanned PDF requires rendered-page review",high
2016/17,2017-06-30,Full accounts made up to 30 June 2017,scanned_pdf,10,24,25,11,30,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs / employee costs,Amortisation of player registrations,"Compute net debt from borrowings note 17 less cash at bank and in hand from the balance sheet","Reporting period changes to a 13 month period ended 30 June 2017; note numbering and page pattern remain close to 2015/16; scanned PDF requires rendered-page review",high
2017/18,2018-06-30,Full accounts made up to 30 June 2018,scanned_pdf,12,25,27,13,32,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs,Amortisation of player registrations,"Compute net debt from finance lease borrowings in note 17 less cash at bank and in hand from the balance sheet","Revenue split reappears later in the notes after judgments; prior period is a 13 month comparator; scanned PDF requires rendered-page review",high
2018/19,2019-06-30,Full accounts made up to 30 June 2019,scanned_pdf,12,25,27,13,32,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs,Player trading and amortisation split in profit and loss account,"Compute net debt from finance lease borrowings in note 17 less cash at bank and in hand from the balance sheet","IFRS 15 presentation change affects catering revenue disclosure; finance lease note still carries the debt evidence; scanned PDF requires rendered-page review",high
2019/20,2020-06-30,Full accounts made up to 30 June 2020,scanned_pdf,13,27,28,14,33,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs,Player trading and amortisation split in profit and loss account,"Compute net debt from lease liabilities in note 18 less cash at bank and in hand from the balance sheet","COVID-19 disrupts the season and delays competitions; statement changes to right-of-use assets and lease-liability presentation",high
2020/21,2021-06-30,Full accounts made up to 30 June 2021,scanned_pdf,13,26,27,14,32,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs,Player trading and amortisation split in statement of profit or loss,"Compute net debt from lease liabilities in note 18 less cash at bank and in hand from the balance sheet","Pandemic restrictions reduce matchday revenue to near zero; note structure remains close to 2019/20",high
2021/22,2022-06-30,Full accounts made up to 30 June 2022,scanned_pdf,13,26,27,14,32,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs,Amortisation of players' registrations,"Compute net debt from lease liabilities in note 18 less cash at bank and in hand from the balance sheet","Fans return and matchday normalises; report warns prior-year comparison is distorted by COVID-19 timing effects",high
2022/23,2023-06-30,Full accounts made up to 30 June 2023,scanned_pdf,14,27,28,15,33,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs including share-based payments,Amortisation of players' registrations,"Compute net debt from lease liabilities in note 19 less cash at bank and in hand from the balance sheet","Page drift of roughly +1 against 2021/22; employees note now includes share-based payments explicitly",high
2023/24,2024-06-30,Full accounts made up to 30 June 2024,scanned_pdf,14,27,28,15,33,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Aggregate payroll costs including share-based payments,Amortisation and impairment of intangible assets,"Compute net debt from lease liabilities in note 19 less cash at bank and in hand from the balance sheet","Docusign OCR remains noisy but note layout is stable; player-sale profit is a major driver of net profit",high
2024/25,2025-06-30,Full accounts made up to 30 June 2025,scanned_pdf,15,28,29,16,35,"Matchday | Broadcasting - UEFA | Broadcasting - All Other | Other commercial activities",Employee costs / aggregate payroll costs including share-based payments,Amortisation and impairment of intangible assets,"Compute net debt from lease liabilities in note 19 less cash at bank and in hand from the balance sheet","Page drift of roughly +1 against 2023/24; revenue note states outsourced retail is presented net and Club World Cup income includes a USA component",high
