season,financial_year_end,report_type,text_layer_quality,turnover_note_page,staff_costs_note_page,player_amortisation_page,profit_before_tax_page,net_debt_page,turnover_labels,wage_label,player_amortisation_label,debt_method,key_caveats,extraction_confidence
2011/12,2012-06-30,Group of companies' accounts made up to 30 June 2012,text_pdf,15,16,16,17,25,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations",Use explicit net debt disclosure,"Category split exceeds reported turnover by GBP 1.796m because of Chelsea Digital Media joint-venture presentation",medium
2012/13,2013-06-30,Group of companies' accounts made up to 30 June 2013,text_pdf,15,16,16,19,26,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations",Use explicit net debt disclosure,"Early Chelsea layout remains stable; direct revenue split available",high
2013/14,2014-06-30,Group of companies' accounts made up to 30 June 2014,text_pdf,15,16,16,19,27,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations",Use explicit net debt disclosure,"Direct revenue split available",high
2014/15,2015-06-30,Group of companies' accounts made up to 30 June 2015,text_pdf,16,17,17,20,29,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations",Use explicit net debt disclosure,"Page numbers drift upward by roughly one page",high
2015/16,2016-06-30,Group of companies' accounts made up to 30 June 2016,text_pdf,23,25,24,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2016/17,2017-06-30,Group of companies' accounts made up to 30 June 2017,text_pdf,22,24,23,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2017/18,2018-06-30,Group of companies' accounts made up to 30 June 2018,text_pdf,22,24,23,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2018/19,2019-06-30,Group of companies' accounts made up to 30 June 2019,text_pdf,22,24,23,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2019/20,2020-06-30,Group of companies' accounts made up to 30 June 2020,text_pdf,25,27,26,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2020/21,2021-06-30,Group of companies' accounts made up to 30 June 2021,text_pdf,28,30,29,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2021/22,2022-06-30,Group of companies' accounts made up to 30 June 2022,text_pdf,29,31,30,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2022/23,2023-06-30,Group of companies' accounts made up to 30 June 2023,text_pdf,33,35,34,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2023/24,2024-06-30,Group of companies' accounts made up to 30 June 2024,text_pdf,33,35,34,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Women's activity is not separately disclosed; commercial may include broader stadium/hotel operations",high
2024/25,2025-06-30,Group of companies' accounts made up to 30 June 2025,text_pdf,29,31,30,,,"Matchday | Broadcasting | Commercial","Wages and salaries / employee costs","Amortisation of intangible assets / player registrations","Check debt and PBT manually if re-extracting","Women's activity is not separately disclosed; commercial may include broader stadium/hotel operations",high
