season,financial_year_end,report_type,text_layer_quality,profit_and_loss_page,turnover_note_page,staff_costs_note_page,balance_sheet_page,debt_note_pages,turnover_labels,wage_label,player_amortisation_label,debt_method,key_caveats,extraction_confidence
2011/12,2012-05-31,Full accounts made up to 31 May 2012,scanned_pdf,9,17,18,12,30,"Media | Matchday | Commercial",Staff costs,Amortisation of players' registrations,"Use explicit net debt line from analysis of changes in net debt note","Shortened 10 month reporting period; values in GBP thousands; scanned PDF requires OCR/manual checking",high
2012/13,2013-05-31,Full accounts made up to 31 May 2013,scanned_pdf,11,17,18,12,"25 | 26","Media | Matchday | Commercial",Staff costs,Amortisation of players' registrations,"Estimate net debt as current group undertaking loan + bank loan - cash at bank and in hand","No single explicit net debt line used in extraction; current debt note and long-term debt note both needed; scanned PDF requires OCR/manual checking",medium
2013/14,2014-05-31,Full accounts made up to 31 May 2014,scanned_pdf,12,18,19,13,"26 | 27","Media | Matchday | Commercial",Staff costs,Amortisation of players' registrations,"Estimate net debt as current parent undertaking loan + bank loan - cash at bank and in hand","Profit before tax is small positive figure; page numbering drifted by roughly +1 from prior year; scanned PDF requires OCR/manual checking",medium
2014/15,2015-05-31,Full accounts made up to 31 May 2015,scanned_pdf,12,18,19,13,"26 | 27","Media | Matchday | Commercial",Staff costs,Amortisation of players' registrations,"Estimate net debt as current bank loan + current parent undertaking loan - cash at bank and in hand","Current-year debt sits mostly in current creditors rather than long-term bank debt note; profit on disposal of players' registrations is clearly disclosed in the profit and loss account; scanned PDF requires OCR/manual checking",medium
2015/16,2016-05-31,Full accounts made up to 31 May 2016,scanned_pdf,12,21,22,12,"30 | 31","Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of players' registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Turnover and staff notes move materially deeper into the statement; debt extraction is better taken from the interest-bearing loans and borrowings note than from the broader creditors subtotal; scanned PDF requires OCR/manual checking",medium
2016/17,2017-05-31,Full accounts made up to 31 May 2017,scanned_pdf,11,21,22,12,28,"Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of players' registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Post-2015 deeper note layout remains stable; financial instruments and borrowing notes support the debt estimate; scanned PDF requires OCR/manual checking",medium
2017/18,2018-05-31,Group of companies accounts made up to 31 May 2018,scanned_pdf,11,22,24,11,29,"Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of players' registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Post-2017 accounts retain the direct turnover split and move to a dedicated interest-bearing loans note for debt; use balance-sheet cash rather than trade receivable lines from the financial instruments note; scanned PDF requires OCR/manual checking",medium
2018/19,2019-05-31,Group of companies accounts made up to 31 May 2019,scanned_pdf,11,22,24,11,29,"Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of players' registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Same post-2017 structure as 2017/18; profit and loss page benefits from a cropped OCR pass to recover profit-on-player-sales and PBT cleanly; scanned PDF requires OCR/manual checking",medium
2019/20,2020-05-31,Group of companies accounts made up to 31 May 2020,scanned_pdf,13,24,25,13,"30 | 31","Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of players' registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","COVID-disrupted season keeps the direct turnover split but page numbering jumps materially later; borrowing note and creditors note should be cross-checked together because full-page OCR can drop debt subtotals; scanned PDF requires OCR/manual checking",medium
2020/21,2021-05-31,Group of companies accounts made up to 31 May 2021,scanned_pdf,14,25,26,14,32,"Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of players' registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Matchday revenue collapses because of COVID restrictions; the staff-cost table and debt note both benefit from targeted crops or corroboration against the creditors note; scanned PDF requires OCR/manual checking",medium
2021/22,2022-05-31,Group of companies accounts made up to 31 May 2022,scanned_pdf,14,24,25,13,"30 | 31","Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of players' registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Report includes a restatement note in the accounting policies section; use the face primary statement and turnover note for current-year extraction; long-term bank debt is clearer in the creditors note than in full-page OCR of the borrowing note; scanned PDF requires OCR/manual checking",medium
2022/23,2023-05-31,Group of companies accounts made up to 31 May 2023,scanned_pdf,13,24,25,13,31,"Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of players' registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Turnover note row order is easy to scramble in full-page OCR, so use a cropped pass to confirm that media is 241.553m, commercial 272.523m, and match day 79.760m; scanned PDF requires OCR/manual checking",medium
2023/24,2024-05-31,Group of companies accounts made up to 31 May 2024,scanned_pdf,13,24,25,13,31,"Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Turnover note states matchday includes GBP 8.6m of compensatory proceeds for loss of matchday revenue; intercompany loan balance rises sharply and is named against FSG Football Group / former UKSV entity; scanned PDF requires OCR/manual checking",medium
2024/25,2025-05-31,Group of companies accounts made up to 31 May 2025,scanned_pdf,13,24,25,13,31,"Media | Commercial | Match day","Wages and salaries plus social security costs plus pension costs",Amortisation of registrations,"Estimate net debt from interest-bearing loans and borrowings less cash at bank and in hand","Primary statement introduces other operating income separate from turnover and notes that prior-year matchday included compensatory proceeds; intercompany loan grows again and supports broader strategic projects; scanned PDF requires OCR/manual checking",medium
