club_id,season,net_debt_original,profit_loss_before_tax_original,page_net_debt,page_profit_before_tax,source_method,notes
arsenal,2011/12,101016000,36588000,42,34,manual_verified,"Net debt computed from total debt less cash and short-term deposits from the downloaded annual report."
arsenal,2012/13,121264000,6654000,24,23,manual_verified,"Net debt computed from creditors due after more than one year and cash/short-term deposits from the downloaded annual report."
arsenal,2013/14,32577000,20593000,47,33,manual_verified,"Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,2014/15,5681000,24714000,49,35,manual_verified,"Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,2015/16,6142000,18192000,50,37,manual_verified,"Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,2016/17,47352000,44607000,54,37,manual_verified,"Net debt taken from the analysis of changes in net debt note. Profit before tax taken from the segmental analysis / group disclosure."
arsenal,2010/11,-133468000,14776000,40,31,manual_verified,"Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax taken from the segmental analysis page as group profit on ordinary activities before taxation."
arsenal,2018/19,21715000,-32215000,31,25,manual_verified,"Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
arsenal,2019/20,-94109000,-54022000,33,30,manual_verified,"Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
arsenal,2020/21,-2466000,-127204000,35,31,manual_verified,"Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
arsenal,2021/22,-13188000,-45481000,35,31,manual_verified,"Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
arsenal,2022/23,-25531000,-52124000,35,31,manual_verified,"Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
arsenal,2023/24,-49097000,-17687000,40,35,manual_verified,"Net debt computed as total debt less cash from the downloaded annual report. Profit before tax verified from the tax note."
arsenal,2024/25,-37776000,-1348000,40,35,manual_verified,"Net debt computed as total debt less cash from the downloaded annual report. Profit before tax verified from the tax note."
chelsea,2011/12,18146000,1378000,25,17,manual_verified,"Net debt taken from the analysis of net debt note in the downloaded annual report."
chelsea,2012/13,28113000,-50712000,26,19,manual_verified,"Net debt taken from the analysis of net debt note. Profit before tax taken from the taxation note."
chelsea,2013/14,25004000,19068000,27,19,manual_verified,"Net debt taken from the analysis of net debt note. Profit before tax taken from the taxation note."
chelsea,2014/15,5330000,-22656000,29,20,manual_verified,"Net debt taken from the analysis of net debt note. Profit before tax taken from the taxation note."
chelsea,2015/16,-27127000,-69789000,13,11,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2016/17,-32986000,15646000,13,11,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2017/18,-31679000,67461000,13,11,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2018/19,-36580000,-101786000,13,11,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2019/20,-17077000,35652000,16,14,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2020/21,-17077000,35652000,16,14,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2021/22,-16366000,-155939000,20,18,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2022/23,-54184000,-121355000,23,21,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2023/24,-87889000,-90100000,23,21,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
chelsea,2024/25,-49009000,-262444000,19,17,manual_verified,"Net debt inferred as net cash because the balance sheet shows cash at bank and in hand but no separately disclosed year-end borrowings. Profit before tax taken from the group profit and loss account."
