season,financial_year_end,report_type,text_layer_quality,turnover_note_page,staff_costs_note_page,profit_before_tax_page,net_debt_page,turnover_labels,wage_label,player_amortisation_label,debt_method,key_caveats,extraction_confidence
2011/12,2012-06-30,Group of companies' accounts made up to 30 June 2012,scanned_pdf,17,19,21,33,"Gate receipts | Media and broadcasting | UEFA solidarity and prize money | Sponsorship and corporate hospitality | Merchandising | Other",Aggregate payroll costs,,"Use explicit net debt disclosure","Revenue note requires reclassification of UEFA solidarity/prize money into broadcasting and domestic cup gate/prize line into matchday",medium
2012/13,2013-06-30,Group of companies' accounts made up to 30 June 2013,scanned_pdf,16,18,20,34,"Match receipts | TV and media | Commercial",Aggregate payroll costs,,"Use explicit net debt disclosure","Direct revenue split appears; player amortisation is not cleanly separated from broader football-trading operating expense line",high
2013/14,2014-06-30,Group of companies' accounts made up to 30 June 2014,scanned_pdf,17,19,21,35,"Match receipts | TV and media | Commercial",Aggregate payroll costs,,"Use explicit net cash/(debt) disclosure","Layout drifts by roughly +1 page from 2012/13; direct revenue split remains available",high
2014/15,2015-06-30,Group of companies' accounts made up to 30 June 2015,scanned_pdf,17,19,21,34,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,,"Use explicit net (debt)/cash disclosure","UEFA prize money becomes a separate revenue line and should be grouped with broadcasting; note says prior year was re-analysed",high
2015/16,2016-06-30,Group of companies' accounts made up to 30 June 2016,scanned_pdf,18,19,21,35,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible fixed assets,"Use explicit net cash/(debt) disclosure","Revenue note shifts one page later; amortisation and impairment are disclosed separately in profit-from-operations / cash-flow support",high
2016/17,2017-06-30,Group of companies' accounts made up to 30 June 2017,scanned_pdf,17,19,21,34,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible assets,"Use explicit net cash/(debt) disclosure","High-quality OCR cache exists for this season; direct revenue split and explicit net cash line both available",high
2017/18,2018-06-30,Group of companies' accounts made up to 30 June 2018,scanned_pdf,18,21,23,3,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Football trading split / amortisation of intangible fixed assets,"Use explicit net debt disclosure from strategic report balance-sheet summary","Direct revenue split remains available; strategic report gives net debt £365.7m and prior-year net funds comparator; football trading split is clear in the consolidated income statement",high
2018/19,2019-06-30,Group of companies' accounts made up to 30 June 2019,scanned_pdf,18,20,21,3,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible fixed assets,"Use explicit net debt disclosure from strategic report balance-sheet summary","THS opening year; direct revenue split remains available; page drift keeps staff note on the next page after the operating-expenses note",high
2019/20,2020-06-30,Group of companies' accounts made up to 30 June 2020,scanned_pdf,19,21,28,3,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible fixed assets,"Use explicit net debt disclosure from strategic report balance-sheet summary","COVID-19 disruption materially affects revenue mix; social-security label is OCR-weak, so the operating-expenses total can be used as a fallback for staff costs",high
2020/21,2021-06-30,Group of companies' accounts made up to 30 June 2021,scanned_pdf,23,25,28,41,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible fixed assets,"Use explicit net debt note on page 41 or strategic report summary on page 3","Pandemic season with reduced capacity; direct revenue split appears deeper in the notes; exact net debt note is available at page 41",high
2021/22,2022-06-30,Group of companies' accounts made up to 30 June 2022,scanned_pdf,23,25,27,3,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible fixed assets,"Use explicit net debt disclosure from strategic report balance-sheet summary","Fans return and matchday normalises; revenue note includes an exceptional UEFA COVID deduction that should not be treated as a separate revenue category",high
2022/23,2023-06-30,Group of companies' accounts made up to 30 June 2023,scanned_pdf,29,31,32,3,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible fixed assets,"Use explicit net debt disclosure from strategic report balance-sheet summary","Revenue note shifts substantially deeper into the statement; staff note spans pages 30-31; stadium revaluation drives a major balance-sheet step change",high
2023/24,2024-06-30,Group of companies' accounts made up to 30 June 2024,scanned_pdf,30,32,33,3,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible fixed assets,"Use explicit net debt disclosure from strategic report balance-sheet summary","Direct revenue split and payroll note remain stable; Harry Kane sale is a major driver of profit on disposal of intangible assets",high
2024/25,2025-06-30,Group of companies' accounts made up to 30 June 2025,scanned_pdf,33,35,36,3,"Match receipts | UEFA prize money | TV and media | Commercial",Aggregate payroll costs,Amortisation of intangible fixed assets / football trading split,"Use explicit net debt disclosure from strategic report balance-sheet summary","Revenue note changes header to 'Revenue and other income'; other income must stay outside revenue totals; strategic report explicitly references men’s and women’s clubs and wider event operations",high
