season,financial_year_end,report_type,text_layer_quality,turnover_note_page,staff_costs_note_page,player_amortisation_page,profit_before_tax_page,net_debt_page,turnover_labels,wage_label,player_amortisation_label,debt_method,key_caveats,extraction_confidence
2008/09,2009-05-31,Group of companies' accounts made up to 31 May 2009,text_pdf,31,39,38,41,47,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Compute net debt as total debt less cash and short-term deposits","Exclude player trading and property development turnover from football revenue",high
2009/10,2010-05-31,Group of companies' accounts made up to 31 May 2010,text_pdf,32,39,38,42,48,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Compute net debt as total debt less cash and short-term deposits","Exclude player trading and property development turnover from football revenue",high
2010/11,2011-05-31,Group of companies' accounts made up to 31 May 2011,text_pdf,31,32,32,,, "Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Check debt note separately if re-extracting","Existing raw extraction does not currently carry explicit PBT or net debt evidence pages",high
2011/12,2012-05-31,Group of companies' accounts made up to 31 May 2012,text_pdf,30,31,31,34,41,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Use analysis of changes in net debt note or debt less cash method depending on disclosure","Exclude player trading and property development turnover from football revenue",high
2012/13,2013-05-31,Group of companies' accounts made up to 31 May 2013,text_pdf,30,31,31,34,41,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Use analysis of changes in net debt note or debt less cash method depending on disclosure","Exclude player trading and property development turnover from football revenue",high
2013/14,2014-05-31,Group of companies' accounts made up to 31 May 2014,text_pdf,29,31,30,33,40,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Use analysis of changes in net debt note or debt less cash method depending on disclosure","Exclude player trading and property development turnover from football revenue",high
2014/15,2015-05-31,Group of companies' accounts made up to 31 May 2015,text_pdf,31,32,32,35,49,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Use analysis of changes in net debt note or debt less cash method depending on disclosure","Page drift in debt note compared with previous seasons",high
2015/16,2016-05-31,Group of companies' accounts made up to 31 May 2016,text_pdf,33,39,39,37,44,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Use analysis of changes in net debt note or debt less cash method depending on disclosure","PBT page moves ahead of some cost notes; check page ordering carefully",high
2016/17,2017-05-31,Group of companies' accounts made up to 31 May 2017,text_pdf,37,39,39,28,54,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Use analysis of changes in net debt note or debt less cash method depending on disclosure","PBT evidence page is materially earlier than debt and cost pages in current extraction",high
2017/18,2018-05-31,Group of companies' accounts made up to 31 May 2018,text_pdf,21,26,23,21,31,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Use disclosed debt note if available; otherwise compute debt less cash","Statement layout compresses compared with earlier years",high
2018/19,2019-05-31,Group of companies' accounts made up to 31 May 2019,text_pdf,21,26,23,,,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2019/20,2020-05-31,Group of companies' accounts made up to 31 May 2020,text_pdf,25,27,26,,,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2020/21,2021-05-31,Group of companies' accounts made up to 31 May 2021,text_pdf,26,30,27,,,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2021/22,2022-05-31,Group of companies' accounts made up to 31 May 2022,text_pdf,22,27,26,,,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2022/23,2023-05-31,Group of companies' accounts made up to 31 May 2023,text_pdf,22,27,26,,,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Check debt and PBT manually if re-extracting","Current raw extraction does not carry explicit PBT or net debt evidence pages",high
2023/24,2024-05-31,Group of companies' accounts made up to 31 May 2024,text_pdf,26,32,30,,,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Check debt and PBT manually if re-extracting","Women's UEFA income is separately disclosed and should be excluded from men's/club football revenue",high
2024/25,2025-05-31,Group of companies' accounts made up to 31 May 2025,text_pdf,31,34,32,,,"Gate and other match day revenues | Broadcasting | Commercial plus retail/licensing mapping",Staff costs,Amortisation of player registrations,"Check debt and PBT manually if re-extracting","Women's UEFA income is separately disclosed and should be excluded; current season kept at medium confidence",medium
