club_id,club_name,season,financial_year_end,field,value_original,page_number,statement_label,evidence_text,source_document,source_url
arsenal,Arsenal,2008/09,2009-05-31,matchday_revenue_original,100086000.0,31,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2008/09,2009-05-31,broadcast_revenue_original,73239000.0,31,Broadcasting,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2008/09,2009-05-31,commercial_revenue_original,48138000.0,31,Commercial / retail / licensing mapping,"Official annual report turnover note, with any disclosed retail or licensing line merged into commercial revenue for standardisation.",Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2008/09,2009-05-31,excluded_player_trading_revenue_original,3589000.0,31,Player trading,Official annual report turnover note. Excluded from football revenue total.,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2008/09,2009-05-31,staff_costs_original,103978000.0,39,Staff costs,Official annual report operating expenses or employees note.,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2008/09,2009-05-31,player_amortisation_original,23876000.0,38,Amortisation of player registrations,Official annual report operating expenses or intangible assets note.,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2008/09,2009-05-31,profit_on_player_sales_original,23177000.0,31,Profit on disposal of player registrations,Official annual report segmental analysis or profit and loss disclosure.,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2008/09,2009-05-31,profit_loss_before_tax_original,28000.0,41,Profit on ordinary activities before tax,Annual report profit/tax note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2008/09,2009-05-31,net_debt_original,1999000.0,47,Computed net debt from total debt less cash and short-term deposits,Calculated from the annual report total debt disclosure and the cash / cash and short-term deposits note. Values were disclosed in GBP thousands and converted to full GBP.,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0
arsenal,Arsenal,2009/10,2010-05-31,matchday_revenue_original,93929000.0,32,Gate and other match day revenues,Official annual report turnover note.,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0
