club_id,club_name,season,financial_year_end,currency_original,units_original,total_revenue_original,matchday_revenue_original,broadcast_revenue_original,commercial_revenue_original,other_revenue_original,women_team_revenue_original,excluded_player_trading_revenue_original,staff_costs_original,net_debt_original,player_amortisation_original,profit_on_player_sales_original,profit_loss_before_tax_original,total_revenue_eur,matchday_revenue_eur,broadcast_revenue_eur,commercial_revenue_eur,other_revenue_eur,net_debt_eur,profit_loss_before_tax_eur,exchange_rate_used,exchange_rate_source,revenue_sum_check_original,revenue_sum_difference_original,pages_used,classification_notes,women_team_treatment_notes,non_football_revenue_notes,confidence_level,requires_manual_review,source_document,source_url,notes
arsenal,Arsenal,2008/09,2009-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),221463000,100086000,73239000,48138000,,,3589000.0,103978000,1999000.0,23876000.0,23177000.0,28000.0,,,,,,,,,,221463000,0,"[31, 38, 39]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2009,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur."
arsenal,Arsenal,2009/10,2010-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),222486000,93929000,84584000,43973000,,,460000.0,110733000,2000000.0,25033000.0,38137000.0,28000.0,,,,,,,,,,222486000,0,"[32, 38, 39]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2010,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur."
arsenal,Arsenal,2010/11,2011-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),224675000,93108000,85244000,46323000,,,735000.0,124401000,-133468000.0,21658000.0,6256000.0,14776000.0,,,,,,,,,,224675000,0,"[31, 32]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2011,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_original, profit_loss_before_tax_original, net_debt_eur, profit_loss_before_tax_eur. Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax taken from the segmental analysis page as group profit on ordinary activities before taxation."
arsenal,Arsenal,2011/12,2012-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),232428000,95212000,84701000,52515000,,,2901000.0,143448000,101016000.0,36802000.0,65456000.0,36588000.0,,,,,,,,,,232428000,0,"[30, 31]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2012,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Net debt has been computed from statement debt and cash disclosures because it was not presented as a single line item. Net debt computed from total debt less cash and short-term deposits from the downloaded annual report."
arsenal,Arsenal,2012/13,2013-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),241227000,92780000,86025000,62422000,,,1598000.0,154490000,121264000.0,41349000.0,46986000.0,6654000.0,,,,,,,,,,241227000,0,"[30, 31]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2013,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt computed from creditors due after more than one year and cash/short-term deposits from the downloaded annual report."
arsenal,Arsenal,2013/14,2014-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),298145000,100229000,120762000,77154000,,,513000.0,166403000,32577000.0,40072000.0,6912000.0,20593000.0,,,,,,,,,,298145000,0,"[29, 30, 31]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2014,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,Arsenal,2014/15,2015-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),328532000,100401000,124844000,103287000,,,805000.0,192213000,5681000.0,54430000.0,28944000.0,24714000.0,,,,,,,,,,328532000,0,"[31, 32]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2015,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,Arsenal,2015/16,2016-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),347393000,99907000,140579000,106907000,,,3230000.0,195387000,6142000.0,59257000.0,2047000.0,18192000.0,,,,,,,,,,347393000,0,"[33, 35, 39]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2016,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,Arsenal,2016/17,2017-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),415867000,99996000,198637000,117234000,,,6932000.0,199395000,47352000.0,77126000.0,6760000.0,44607000.0,,,,,,,,,,415867000,0,"[37, 38, 39]","Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover. Where Arsenal disclosed retail, retail and licensing, or licensing separately, those lines have been mapped into commercial revenue to align with the project taxonomy.",Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2017,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt taken from the analysis of changes in net debt note. Profit before tax taken from the segmental analysis / group disclosure."
arsenal,Arsenal,2017/18,2018-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),385920000,98905000,180097000,106918000,,,2311000.0,240060000,0.0,85812000.0,120047000.0,2018000.0,,,,,,,,,,385920000,0,"[21, 23, 26]",Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover.,Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2018,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur."
arsenal,Arsenal,2018/19,2019-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),390148000,96244000,183025000,110879000,,,4582000.0,234922000,21715000.0,89678000.0,12243000.0,-32215000.0,,,,,,,,,,390148000,0,"[21, 23, 26]",Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover.,Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2019,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzI1ODcyNTM1MWFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_original, profit_loss_before_tax_original, net_debt_eur, profit_loss_before_tax_eur. Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
arsenal,Arsenal,2019/20,2020-05-31,GBP,full pounds (converted from GBP thousands disclosed in report),339968000,78743000,118948000,142277000,,,3485000.0,234478000,-94109000.0,109114000.0,60050000.0,-54022000.0,,,,,,,,,,339968000,0,"[25, 26, 27]",Total revenue has been set to football operating revenue only and excludes disclosed player trading and property development turnover.,Women's team revenue is not separately disclosed in the relevant report note. The extracted football revenue figure should be treated as potentially including any inseparable women's activity.,Disclosed property development turnover is excluded from the football revenue total used here.,high,True,Group of companies' accounts made up to 31 May 2020,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzI5NDA2NjY3MWFkaXF6a2N4/document?format=pdf&download=0,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_original, profit_loss_before_tax_original, net_debt_eur, profit_loss_before_tax_eur. Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
